Date,Electric
06/07/2021,28269
04/07/2021,28090
02/07/2021,27916
01/07/2021,27830
30/06/2021,27746
29/06/2021,27652
27/06/2021,27449
25/06/2021,27255
24/06/2021,27156
21/06/2021,26889
17/06/2021,26589
16/06/2021,26521
15/06/2021,26454
13/06/2021,26300
11/06/2021,26159
10/06/2021,26096
09/06/2021,26031
08/06/2021,25954
07/06/2021,25869
06/06/2021,25776
03/06/2021,25558
01/06/2021,25423
30/05/2021,25255
26/05/2021,24963
23/05/2021,24716
21/05/2021,24557
20/05/2021,24502
17/05/2021,24307
16/05/2021,24128
09/05/2021,23877
07/05/2021,23765
05/05/2021,23668
04/05/2021,23612
02/05/2021,23497
28/04/2021,23261
27/04/2021,23212
25/04/2021,23101
22/04/2021,22945
21/04/2021,22898
20/04/2021,22859
19/04/2021,22822
15/04/2021,22648
13/04/2021,22543
11/04/2021,22436
08/04/2021,22323
05/04/2021,22221
31/03/2021,22051
28/03/2021,21951
24/03/2021,21797
22/03/2021,21740
18/03/2021,21589
14/03/2021,21485
11/03/2021,21394
28/02/2021,21092
25/02/2021,21029
24/02/2021,21009
21/02/2021,20949
18/02/2021,20876
17/02/2021,20854
14/02/2021,20798
10/02/2021,20712
07/02/2021,20663
24/01/2021,20469
21/01/2021,20439
19/01/2021,20403
14/01/2021,20337
11/01/2021,20304
10/01/2021,20291
06/01/2021,20236
03/01/2021,20196
28/12/2020,20108
22/12/2020,20026
20/12/2020,19985
16/12/2020,19906
14/12/2020,19867
06/12/2020,19671
29/11/2020,19443
18/11/2020,19090
12/11/2020,18843
02/11/2020,18447
25/10/2020,18141
22/10/2020,18003
20/10/2020,17922
18/10/2020,17843
15/10/2020,17698
13/10/2020,17597
11/10/2020,17491
08/10/2020,17308
04/10/2020,17072
01/10/2020,16894
28/09/2020,16714
24/09/2020,16466
20/09/2020,16229
16/09/2020,15947
12/09/2020,15649
11/09/2020,15570
10/09/2020,15498
08/09/2020,15362
07/09/2020,15287
06/09/2020,15223
04/09/2020,15049
03/09/2020,14977
02/09/2020,14902
30/08/2020,14637
27/08/2020,14354
25/08/2020,14180
24/08/2020,14083
22/08/2020,13895
21/08/2020,13805
20/08/2020,13694
19/08/2020,13600
18/08/2020,13501
17/08/2020,13407
16/08/2020,13301
15/08/2020,13206
13/08/2020,13032
12/08/2020,12923
11/08/2020,12820
10/08/2020,12716
09/08/2020,12614
06/08/2020,12333
05/08/2020,12241
04/08/2020,12150
30/07/2020,11598
29/07/2020,11503
27/07/2020,11311
26/07/2020,11221
24/07/2020,11059
22/07/2020,10873
21/07/2020,10786
20/07/2020,10692
19/07/2020,10579.5
16/07/2020,10266
13/07/2020,9959
12/07/2020,9857
09/07/2020,9558.9
07/07/2020,9374
06/07/2020,9283.6
05/07/2020,9175
04/07/2020,9080
02/07/2020,8861
01/07/2020,8760.3
30/06/2020,8675
29/06/2020,8579
28/06/2020,8481
26/06/2020,8297
25/06/2020,8174
24/06/2020,8067
23/06/2020,7986
22/06/2020,7962
21/06/2020,7869
10/06/2020,6809
08/06/2020,6624.8
02/06/2020,6066
31/05/2020,5873
28/05/2020,5608
27/05/2020,5578
25/05/2020,5404
22/05/2020,5110
18/05/2020,4859
15/05/2020,4604
10/05/2020,4281.2
29/04/2020,3457.5
24/04/2020,3103.1
30/03/2020,1973.1
25/03/2020,1802.3
17/03/2020,1535.4
08/03/2020,1348.2
02/03/2020,1216.3
23/02/2020,1013.7
16/02/2020,851.3
09/02/2020,748.2
04/02/2020,670.1
29/01/2020,599.3
26/01/2020,559.5
21/01/2020,476.1
19/01/2020,449.6
12/01/2020,352.8
09/01/2020,297.5
07/01/2020,258.9
05/01/2020,223.6
03/01/2020,180.8
01/01/2020,155.5
29/12/2019,88.4
25/12/2019,24
24/12/2019,0
22/12/2019,231017
17/12/2019,230917
14/12/2019,230850
11/12/2019,230758
10/12/2019,230746
03/12/2019,230579
30/11/2019,230507
28/11/2019,230454
25/11/2019,230405
23/11/2019,230368
22/11/2019,230333
21/11/2019,230338
20/11/2019,230323
17/11/2019,230228
14/11/2019,230148
07/11/2019,229925
05/11/2019,229833
04/11/2019,229785
29/10/2019,229455
21/10/2019,229026
15/10/2019,228645
05/10/2019,228022
26/09/2019,227345
22/09/2019,227023
20/09/2019,226828
13/09/2019,226354
11/09/2019,226182
08/09/2019,225950
03/09/2019,225479
01/09/2019,225288
28/08/2019,224986
27/08/2019,224838
26/08/2019,224800
24/08/2019,224553
22/08/2019,224358
12/08/2019,223218
22/07/2019,221092
24/06/2019,218770
22/05/2019,216596
23/04/2019,215212
23/03/2019,214295
22/02/2019,213757
